RNDF_name	rndf_280S-20070227.txt
num_segments	1
num_zones	0
format_version	1.0
creation_date	2/27/2007
segment	1
num_lanes	13
lane	1.1
num_waypoints	267
lane_width	12.0000
left_boundary	solid_white
right_boundary	broken_white
1.1.1	37.4181092	-122.2146383
1.1.2	37.4180492	-122.2144487
1.1.3	37.4179923	-122.2142740
1.1.4	37.4179087	-122.2140566
1.1.5	37.4178241	-122.2138380
1.1.6	37.4177194	-122.2135817
1.1.7	37.4176163	-122.2133654
1.1.8	37.4175283	-122.2131900
1.1.9	37.4174410	-122.2130177
1.1.10	37.4173492	-122.2128515
1.1.11	37.4172578	-122.2126912
1.1.12	37.4171633	-122.2125315
1.1.13	37.4170634	-122.2123699
1.1.14	37.4169590	-122.2122121
1.1.15	37.4168534	-122.2120621
1.1.16	37.4167455	-122.2119154
1.1.17	37.4166301	-122.2117632
1.1.18	37.4164733	-122.2115706
1.1.19	37.4163544	-122.2114300
1.1.20	37.4162337	-122.2112938
1.1.21	37.4161082	-122.2111586
1.1.22	37.4159834	-122.2110283
1.1.23	37.4158590	-122.2109011
1.1.24	37.4157312	-122.2107694
1.1.25	37.4156069	-122.2106419
1.1.26	37.4154818	-122.2105138
1.1.27	37.4153178	-122.2103483
1.1.28	37.4151905	-122.2102178
1.1.29	37.4150641	-122.2100887
1.1.30	37.4149337	-122.2099556
1.1.31	37.4148084	-122.2098258
1.1.32	37.4146843	-122.2096938
1.1.33	37.4145572	-122.2095541
1.1.34	37.4144351	-122.2094145
1.1.35	37.4143153	-122.2092681
1.1.36	37.4141928	-122.2091111
1.1.37	37.4141141	-122.2090040
1.1.38	37.4140441	-122.2089091
1.1.39	37.4139306	-122.2087447
1.1.40	37.4138191	-122.2085755
1.1.41	37.4137073	-122.2083966
1.1.42	37.4136017	-122.2082193
1.1.43	37.4134997	-122.2080377
1.1.44	37.4133982	-122.2078463
1.1.45	37.4133033	-122.2076576
1.1.46	37.4132109	-122.2074642
1.1.47	37.4131213	-122.2072649
1.1.48	37.4130379	-122.2070671
1.1.49	37.4129584	-122.2068644
1.1.50	37.4128820	-122.2066553
1.1.51	37.4128111	-122.2064478
1.1.52	37.4127411	-122.2062329
1.1.53	37.4126734	-122.2060191
1.1.54	37.4126052	-122.2058046
1.1.55	37.4125368	-122.2055879
1.1.56	37.4124681	-122.2053730
1.1.57	37.4124002	-122.2051581
1.1.58	37.4123312	-122.2049419
1.1.59	37.4122631	-122.2047272
1.1.60	37.4121946	-122.2045123
1.1.61	37.4121249	-122.2042966
1.1.62	37.4120563	-122.2040827
1.1.63	37.4119878	-122.2038685
1.1.64	37.4119188	-122.2036530
1.1.65	37.4118503	-122.2034393
1.1.66	37.4117820	-122.2032254
1.1.67	37.4117132	-122.2030101
1.1.68	37.4116452	-122.2027964
1.1.69	37.4115763	-122.2025791
1.1.70	37.4115082	-122.2023668
1.1.71	37.4114399	-122.2021527
1.1.72	37.4113705	-122.2019352
1.1.73	37.4113027	-122.2017222
1.1.74	37.4112340	-122.2015076
1.1.75	37.4111643	-122.2012898
1.1.76	37.4110961	-122.2010763
1.1.77	37.4110268	-122.2008597
1.1.78	37.4109357	-122.2005841
1.1.79	37.4108662	-122.2003633
1.1.80	37.4107741	-122.2000753
1.1.81	37.4107025	-122.1998529
1.1.82	37.4106322	-122.1996338
1.1.83	37.4105629	-122.1994162
1.1.84	37.4104920	-122.1991940
1.1.85	37.4104448	-122.1990432
1.1.86	37.4103964	-122.1988921
1.1.87	37.4103262	-122.1986717
1.1.88	37.4102570	-122.1984532
1.1.89	37.4101880	-122.1982348
1.1.90	37.4101188	-122.1980156
1.1.91	37.4100513	-122.1977968
1.1.92	37.4099820	-122.1975781
1.1.93	37.4099111	-122.1973591
1.1.94	37.4098415	-122.1971424
1.1.95	37.4097724	-122.1969258
1.1.96	37.4097032	-122.1967077
1.1.97	37.4096345	-122.1964918
1.1.98	37.4095650	-122.1962731
1.1.99	37.4094969	-122.1960600
1.1.100	37.4094286	-122.1958456
1.1.101	37.4093585	-122.1956289
1.1.102	37.4092901	-122.1954178
1.1.103	37.4092217	-122.1952056
1.1.104	37.4091520	-122.1949900
1.1.105	37.4090832	-122.1947797
1.1.106	37.4090132	-122.1945701
1.1.107	37.4089463	-122.1943555
1.1.108	37.4088789	-122.1941458
1.1.109	37.4088121	-122.1939348
1.1.110	37.4087441	-122.1937210
1.1.111	37.4086785	-122.1935123
1.1.112	37.4086220	-122.1933290
1.1.113	37.4085702	-122.1931691
1.1.114	37.4085184	-122.1930130
1.1.115	37.4084716	-122.1928648
1.1.116	37.4084070	-122.1926653
1.1.117	37.4083510	-122.1925022
1.1.118	37.4082979	-122.1923534
1.1.119	37.4082491	-122.1922150
1.1.120	37.4081671	-122.1920003
1.1.121	37.4080830	-122.1917904
1.1.122	37.4079927	-122.1915818
1.1.123	37.4079000	-122.1913765
1.1.124	37.4078011	-122.1911725
1.1.125	37.4076983	-122.1909690
1.1.126	37.4076019	-122.1907841
1.1.127	37.4075030	-122.1906076
1.1.128	37.4074006	-122.1904229
1.1.129	37.4073031	-122.1902598
1.1.130	37.4071776	-122.1900654
1.1.131	37.4070687	-122.1898993
1.1.132	37.4069516	-122.1897373
1.1.133	37.4068376	-122.1895830
1.1.134	37.4067000	-122.1893956
1.1.135	37.4065611	-122.1892195
1.1.136	37.4064128	-122.1890464
1.1.137	37.4062659	-122.1888755
1.1.138	37.4061115	-122.1887077
1.1.139	37.4059555	-122.1885467
1.1.140	37.4057976	-122.1883915
1.1.141	37.4056369	-122.1882392
1.1.142	37.4054766	-122.1880898
1.1.143	37.4053163	-122.1879406
1.1.144	37.4051534	-122.1877900
1.1.145	37.4049925	-122.1876412
1.1.146	37.4048328	-122.1874924
1.1.147	37.4046723	-122.1873438
1.1.148	37.4045144	-122.1871977
1.1.149	37.4043583	-122.1870526
1.1.150	37.4042139	-122.1869176
1.1.151	37.4040806	-122.1867930
1.1.152	37.4039579	-122.1866780
1.1.153	37.4038430	-122.1865714
1.1.154	37.4037294	-122.1864654
1.1.155	37.4036145	-122.1863573
1.1.156	37.4035010	-122.1862503
1.1.157	37.4033837	-122.1861384
1.1.158	37.4032609	-122.1860214
1.1.159	37.4031383	-122.1859029
1.1.160	37.4030119	-122.1857794
1.1.161	37.4028808	-122.1856497
1.1.162	37.4027499	-122.1855194
1.1.163	37.4026163	-122.1853845
1.1.164	37.4024801	-122.1852476
1.1.165	37.4023456	-122.1851128
1.1.166	37.4022121	-122.1849784
1.1.167	37.4020748	-122.1848406
1.1.168	37.4019392	-122.1847034
1.1.169	37.4018018	-122.1845644
1.1.170	37.4016651	-122.1844253
1.1.171	37.4015275	-122.1842857
1.1.172	37.4013885	-122.1841438
1.1.173	37.4012493	-122.1840029
1.1.174	37.4011100	-122.1838613
1.1.175	37.4009687	-122.1837180
1.1.176	37.4008270	-122.1835738
1.1.177	37.4006868	-122.1834314
1.1.178	37.4005442	-122.1832863
1.1.179	37.4004012	-122.1831409
1.1.180	37.4002598	-122.1829974
1.1.181	37.4001161	-122.1828518
1.1.182	37.3999723	-122.1827056
1.1.183	37.3998305	-122.1825614
1.1.184	37.3996865	-122.1824154
1.1.185	37.3995428	-122.1822690
1.1.186	37.3993992	-122.1821223
1.1.187	37.3992572	-122.1819780
1.1.188	37.3991131	-122.1818320
1.1.189	37.3989691	-122.1816855
1.1.190	37.3988266	-122.1815412
1.1.191	37.3986819	-122.1813948
1.1.192	37.3985371	-122.1812476
1.1.193	37.3983939	-122.1811026
1.1.194	37.3982486	-122.1809549
1.1.195	37.3981025	-122.1808075
1.1.196	37.3979579	-122.1806604
1.1.197	37.3978129	-122.1805130
1.1.198	37.3976666	-122.1803642
1.1.199	37.3975213	-122.1802165
1.1.200	37.3973768	-122.1800703
1.1.201	37.3972328	-122.1799236
1.1.202	37.3970910	-122.1797792
1.1.203	37.3969502	-122.1796357
1.1.204	37.3968090	-122.1794921
1.1.205	37.3966694	-122.1793504
1.1.206	37.3965283	-122.1792071
1.1.207	37.3963897	-122.1790658
1.1.208	37.3962518	-122.1789261
1.1.209	37.3961113	-122.1787832
1.1.210	37.3959725	-122.1786422
1.1.211	37.3958344	-122.1785019
1.1.212	37.3956926	-122.1783579
1.1.213	37.3955533	-122.1782154
1.1.214	37.3954157	-122.1780752
1.1.215	37.3952768	-122.1779340
1.1.216	37.3951304	-122.1777852
1.1.217	37.3949970	-122.1776478
1.1.218	37.3948648	-122.1775117
1.1.219	37.3947335	-122.1773759
1.1.220	37.3946050	-122.1772426
1.1.221	37.3944793	-122.1771091
1.1.222	37.3943553	-122.1769746
1.1.223	37.3942357	-122.1768375
1.1.224	37.3941192	-122.1766966
1.1.225	37.3940056	-122.1765501
1.1.226	37.3938954	-122.1763995
1.1.227	37.3937862	-122.1762436
1.1.228	37.3936768	-122.1760819
1.1.229	37.3935697	-122.1759163
1.1.230	37.3934647	-122.1757448
1.1.231	37.3933615	-122.1755663
1.1.232	37.3932625	-122.1753845
1.1.233	37.3931654	-122.1751960
1.1.234	37.3930740	-122.1750084
1.1.235	37.3929858	-122.1748166
1.1.236	37.3929003	-122.1746195
1.1.237	37.3928210	-122.1744240
1.1.238	37.3927448	-122.1742247
1.1.239	37.3926722	-122.1740194
1.1.240	37.3926046	-122.1738141
1.1.241	37.3925416	-122.1736085
1.1.242	37.3924814	-122.1733958
1.1.243	37.3924269	-122.1731867
1.1.244	37.3923763	-122.1729735
1.1.245	37.3923288	-122.1727555
1.1.246	37.3922875	-122.1725407
1.1.247	37.3922492	-122.1723234
1.1.248	37.3922155	-122.1721022
1.1.249	37.3921873	-122.1718855
1.1.250	37.3921635	-122.1716672
1.1.251	37.3921438	-122.1714451
1.1.252	37.3921281	-122.1712278
1.1.253	37.3921133	-122.1710058
1.1.254	37.3920996	-122.1707878
1.1.255	37.3920862	-122.1705725
1.1.256	37.3920721	-122.1703543
1.1.257	37.3920597	-122.1701428
1.1.258	37.3920474	-122.1699357
1.1.259	37.3920329	-122.1696991
1.1.260	37.3920226	-122.1694934
1.1.261	37.3920069	-122.1692475
1.1.262	37.3919887	-122.1690327
1.1.263	37.3919624	-122.1687778
1.1.264	37.3919371	-122.1685832
1.1.265	37.3919081	-122.1683894
1.1.266	37.3918763	-122.1682159
1.1.267	37.3918352	-122.1680135
end_lane
lane	1.2
num_waypoints	267
lane_width	12.0000
left_boundary	broken_white
right_boundary	broken_white
1.2.1	37.4180786	-122.2146535
1.2.2	37.4180187	-122.2144641
1.2.3	37.4179622	-122.2142908
1.2.4	37.4178791	-122.2140746
1.2.5	37.4177946	-122.2138564
1.2.6	37.4176905	-122.2136017
1.2.7	37.4175882	-122.2133870
1.2.8	37.4175004	-122.2132121
1.2.9	37.4174136	-122.2130406
1.2.10	37.4173222	-122.2128753
1.2.11	37.4172311	-122.2127155
1.2.12	37.4171370	-122.2125564
1.2.13	37.4170376	-122.2123958
1.2.14	37.4169339	-122.2122390
1.2.15	37.4168290	-122.2120898
1.2.16	37.4167214	-122.2119437
1.2.17	37.4166066	-122.2117922
1.2.18	37.4164505	-122.2116004
1.2.19	37.4163321	-122.2114604
1.2.20	37.4162119	-122.2113248
