RNDF_name	rndf_280both-20070227.txt
num_segments	1
num_zones	0
format_version	1.0
creation_date	2/27/2007
segment	1
num_lanes	23
lane	1.1
num_waypoints	259
lane_width	12.0000
left_boundary	solid_white
right_boundary	broken_white
1.1.1	37.3918256	-122.1674399
1.1.2	37.3918841	-122.1676387
1.1.3	37.3919422	-122.1678842
1.1.4	37.3919878	-122.1681069
1.1.5	37.3920346	-122.1683367
1.1.6	37.3920652	-122.1685305
1.1.7	37.3920927	-122.1687480
1.1.8	37.3921186	-122.1689725
1.1.9	37.3921363	-122.1691937
1.1.10	37.3921517	-122.1694231
1.1.11	37.3921666	-122.1696558
1.1.12	37.3921792	-122.1698901
1.1.13	37.3921916	-122.1701181
1.1.14	37.3922055	-122.1703452
1.1.15	37.3922196	-122.1705772
1.1.16	37.3922325	-122.1708020
1.1.17	37.3922462	-122.1710269
1.1.18	37.3922613	-122.1712592
1.1.19	37.3922795	-122.1714853
1.1.20	37.3923021	-122.1717116
1.1.21	37.3923299	-122.1719444
1.1.22	37.3923620	-122.1721701
1.1.23	37.3923990	-122.1723949
1.1.24	37.3924421	-122.1726254
1.1.25	37.3924893	-122.1728480
1.1.26	37.3925414	-122.1730684
1.1.27	37.3926053	-122.1733117
1.1.28	37.3926681	-122.1735289
1.1.29	37.3927345	-122.1737397
1.1.30	37.3928068	-122.1739499
1.1.31	37.3928830	-122.1741566
1.1.32	37.3929623	-122.1743595
1.1.33	37.3930477	-122.1745631
1.1.34	37.3931361	-122.1747592
1.1.35	37.3932292	-122.1749520
1.1.36	37.3933296	-122.1751464
1.1.37	37.3934304	-122.1753324
1.1.38	37.3935358	-122.1755149
1.1.39	37.3936484	-122.1756987
1.1.40	37.3937610	-122.1758737
1.1.41	37.3938772	-122.1760452
1.1.42	37.3940001	-122.1762180
1.1.43	37.3941236	-122.1763809
1.1.44	37.3942524	-122.1765380
1.1.45	37.3943843	-122.1766927
1.1.46	37.3945162	-122.1768394
1.1.47	37.3946506	-122.1769783
1.1.48	37.3947876	-122.1771199
1.1.49	37.3949246	-122.1772566
1.1.50	37.3950640	-122.1773921
1.1.51	37.3952057	-122.1775306
1.1.52	37.3953451	-122.1776676
1.1.53	37.3954886	-122.1778096
1.1.54	37.3956056	-122.1779248
1.1.55	37.3957490	-122.1780665
1.1.56	37.3958927	-122.1782083
1.1.57	37.3960411	-122.1783537
