RNDF_name shoreline_circle_rndf.txt
num_segments 1
num_zones 0
num_intersections 0
format_version  1.1
creation_date 11/09/2009
segment 1
num_lanes 1
num_crosswalks  1
lane  1.1
num_waypoints 219
lane_width  12
exit  1.1.219 1.1.1
checkpoint 1.1.200 1
1.1.1 37.427511 -122.076563
1.1.2 37.427520 -122.076563
1.1.3 37.427529 -122.076563
1.1.4 37.427538 -122.076564
1.1.5 37.427547 -122.076565
1.1.6 37.427556 -122.076567
1.1.7 37.427565 -122.076568
1.1.8 37.427574 -122.076570
1.1.9 37.427583 -122.076573
1.1.10 37.427592 -122.076575
1.1.11 37.427601 -122.076578
1.1.12 37.427609 -122.076581
1.1.13 37.427618 -122.076585
1.1.14 37.427626 -122.076589
1.1.15 37.427635 -122.076593
1.1.16 37.427643 -122.076598
1.1.17 37.427651 -122.076602
1.1.18 37.427659 -122.076607
1.1.19 37.427667 -122.076613
1.1.20 37.427675 -122.076618
1.1.21 37.427683 -122.076624
1.1.22 37.427691 -122.076631
1.1.23 37.427698 -122.076637
1.1.24 37.427705 -122.076644
1.1.25 37.427712 -122.076651
1.1.26 37.427719 -122.076658
1.1.27 37.427726 -122.076665
1.1.28 37.427733 -122.076673
1.1.29 37.427739 -122.076681
1.1.30 37.427746 -122.076689
1.1.31 37.427752 -122.076698
1.1.32 37.427757 -122.076706
1.1.33 37.427763 -122.076715
1.1.34 37.427769 -122.076724
1.1.35 37.427774 -122.076734
1.1.36 37.427779 -122.076743
1.1.37 37.427784 -122.076753
1.1.38 37.427788 -122.076762
1.1.39 37.427793 -122.076772
1.1.40 37.427797 -122.076782
1.1.41 37.427801 -122.076793
1.1.42 37.427804 -122.076803
1.1.43 37.427808 -122.076813
1.1.44 37.427811 -122.076824
1.1.45 37.427814 -122.076835
1.1.46 37.427817 -122.076846
1.1.47 37.427819 -122.076857
1.1.48 37.427821 -122.076868
1.1.49 37.427823 -122.076879
1.1.50 37.427825 -122.076890
1.1.51 37.427826 -122.076901
1.1.52 37.427828 -122.076912
1.1.53 37.427829 -122.076924
1.1.54 37.427829 -122.076935
1.1.55 37.427830 -122.076946
1.1.56 37.427830 -122.076958
1.1.57 37.427830 -122.076969
1.1.58 37.427829 -122.076980
1.1.59 37.427829 -122.076992
1.1.60 37.427828 -122.077003
1.1.61 37.427827 -122.077014
1.1.62 37.427825 -122.077025
1.1.63 37.427824 -122.077036
1.1.64 37.427822 -122.077048
1.1.65 37.427820 -122.077059
1.1.66 37.427817 -122.077070
1.1.67 37.427815 -122.077080
1.1.68 37.427812 -122.077091
1.1.69 37.427808 -122.077102
1.1.70 37.427805 -122.077112
1.1.71 37.427801 -122.077123
1.1.72 37.427798 -122.077133
1.1.73 37.427793 -122.077143
1.1.74 37.427789 -122.077153
1.1.75 37.427785 -122.077163
1.1.76 37.427780 -122.077172
1.1.77 37.427775 -122.077182
1.1.78 37.427770 -122.077191
1.1.79 37.427764 -122.077200
1.1.80 37.427759 -122.077209
1.1.81 37.427753 -122.077218
1.1.82 37.427747 -122.077226
1.1.83 37.427740 -122.077235
1.1.84 37.427734 -122.077243
1.1.85 37.427727 -122.077250
1.1.86 37.427721 -122.077258
1.1.87 37.427714 -122.077265
1.1.88 37.427707 -122.077272
1.1.89 37.427699 -122.077279
1.1.90 37.427692 -122.077286
1.1.91 37.427684 -122.077292
1.1.92 37.427677 -122.077298
1.1.93 37.427669 -122.077303
1.1.94 37.427661 -122.077309
1.1.95 37.427653 -122.077314
1.1.96 37.427645 -122.077319
1.1.97 37.427636 -122.077323
1.1.98 37.427628 -122.077328
1.1.99 37.427620 -122.077332
1.1.100 37.427611 -122.077335
1.1.101 37.427602 -122.077338
1.1.102 37.427594 -122.077342
1.1.103 37.427585 -122.077344
1.1.104 37.427576 -122.077347
1.1.105 37.427567 -122.077349
1.1.106 37.427558 -122.077350
1.1.107 37.427549 -122.077352
1.1.108 37.427540 -122.077353
1.1.109 37.427531 -122.077354
1.1.110 37.427522 -122.077354
1.1.111 37.427513 -122.077354
1.1.112 37.427504 -122.077354
1.1.113 37.427495 -122.077353
1.1.114 37.427486 -122.077353
1.1.115 37.427477 -122.077351
1.1.116 37.427468 -122.077350
1.1.117 37.427459 -122.077348
1.1.118 37.427450 -122.077346
1.1.119 37.427441 -122.077343
1.1.120 37.427432 -122.077341
1.1.121 37.427424 -122.077337
1.1.122 37.427415 -122.077334
1.1.123 37.427407 -122.077330
1.1.124 37.427398 -122.077326
1.1.125 37.427390 -122.077322
1.1.126 37.427381 -122.077317
1.1.127 37.427373 -122.077312
1.1.128 37.427365 -122.077307
1.1.129 37.427357 -122.077302
1.1.130 37.427350 -122.077296
1.1.131 37.427342 -122.077290
1.1.132 37.427334 -122.077283
1.1.133 37.427327 -122.077277
1.1.134 37.427320 -122.077270
1.1.135 37.427313 -122.077263
1.1.136 37.427306 -122.077256
1.1.137 37.427299 -122.077248
1.1.138 37.427293 -122.077240
1.1.139 37.427286 -122.077232
1.1.140 37.427280 -122.077224
1.1.141 37.427274 -122.077215
1.1.142 37.427268 -122.077206
1.1.143 37.427263 -122.077197
1.1.144 37.427258 -122.077188
1.1.145 37.427252 -122.077179
1.1.146 37.427247 -122.077169
1.1.147 37.427243 -122.077160
1.1.148 37.427238 -122.077150
1.1.149 37.427234 -122.077140
1.1.150 37.427230 -122.077130
1.1.151 37.427226 -122.077119
1.1.152 37.427223 -122.077109
1.1.153 37.427219 -122.077098
1.1.154 37.427216 -122.077088
1.1.155 37.427213 -122.077077
1.1.156 37.427211 -122.077066
1.1.157 37.427208 -122.077055
